Region,T1_Wetland_km2,T2_Wetland_km2,Loss_km2,Gain_km2
Region_0,0.0707,0.06960000000000001,0.0048000000000000004,0.0037
Region_1,4.2183,3.9415,0.8205,0.5437000000000001
Region_2,0.16970000000000002,0.2003,0.031,0.0616
Region_3,3.0348,2.9624,0.2252,0.15280000000000002
Region_4,5.9282,5.4488,1.5132,1.0338
Region_5,17.2207,19.9668,1.7458,4.4919
Region_6,11.3854,12.1902,0.5751000000000001,1.3799000000000001
Region_7,0.6932,0.49710000000000004,0.2962,0.10010000000000001
Region_8,0.0,0.0,0.0,0.0
Region_9,0.0864,0.1218,0.0025,0.0379
Region_10,8.834200000000001,9.7173,1.8442,2.7273
Region_11,1.7756,1.5881,0.19770000000000001,0.0102
